λ,Curve-1_E
426.518,89.4405
426.604,90.0984
426.69,97.3684
426.777,87.2913
426.863,71.0637
426.949,79.6896
427.036,77.6021
427.122,84.6279
427.208,90.2087
427.295,96.0053
427.381,97.3972
427.467,70.7183
427.554,87.7251
427.64,79.6174
427.726,69.7739
427.813,90.1464
427.899,70.02
427.985,96.0253
428.072,103.923
428.158,101.174
428.244,78.4045
428.331,81.6692
428.417,54.8526
428.503,87.3498
428.59,96.4168
428.676,88.965
428.762,69.566
428.849,75.2243
428.935,66.5755
429.021,84.3736
429.107,104.879
429.194,99.2703
429.28,88.6378
429.366,85.1076
429.453,82.4488
429.539,91.8324
429.625,98.2474
429.712,82.3782
429.798,84.9322
429.884,81.4479
429.97,88.2382
430.057,69.6248
430.143,81.3995
430.229,85.5201
430.316,79.4327
430.402,95.387
430.488,81.3781
430.574,78.9001
430.661,91.9334
430.747,72.2023
430.833,83.6324
430.919,83.6187
431.006,65.0665
431.092,92.2576
431.178,96.0463
431.264,73.7821
431.351,86.5811
431.437,77.806
431.523,88.5291
431.61,88.3672
431.696,110.877
431.782,88.8598
431.868,112.661
431.955,87.4443
432.041,85.4733
432.127,105.02
432.213,102.222
432.3,107.053
432.386,79.0933
432.472,80.9641
432.558,86.2746
432.644,99.3761
432.731,112.469
432.817,88.2053
432.903,96.4188
432.989,96.4848
433.076,91.2412
433.162,85.9352
433.248,98.5048
433.334,88.1075
433.421,95.6189
433.507,98.266
433.593,103.986
433.679,95.4368
433.765,97.1472
433.852,89.2587
433.938,110.061
434.024,108.825
434.11,102.126
434.196,96.5297
434.283,102.382
434.369,62.4996
434.455,87.2622
434.541,84.6464
434.627,109.337
434.714,72.7502
434.8,95.4075
434.886,102.569
434.972,103.792
435.058,85.9285
435.145,108.537
435.231,87.3159
435.317,90.0253
435.403,107.09
435.489,105.963
435.576,84.1871
435.662,96.1529
435.748,86.8817
435.834,103.587
435.92,101.47
436.006,92.0727
436.093,94.8137
436.179,94.1379
436.265,90.9281
436.351,113.21
436.437,108.73
436.523,108.875
436.61,91.646
436.696,115.235
