λ,alta_E,bassa-esp_E,Raw_E
409.387,192.969,38.1466,14.6559
409.474,203.696,44.5715,48.3205
409.56,185.592,41.1804,51.2428
409.647,207.271,49.6842,40.4264
409.734,170.843,16.4703,31.032
409.821,202.631,43.6866,57.3585
409.907,174.738,59.4246,10.6244
409.994,197.031,51.7554,53.9436
410.081,189.393,15.9009,49.5817
410.167,178.275,46.048,39.8292
410.254,156.255,41.2433,35.2857
410.341,169.772,15.6216,9.20818
410.427,189.861,12.5568,22.7439
410.514,173.812,35.4738,32.363
410.6,160.485,20.5723,13.574
410.687,182.552,31.0628,11.0654
410.774,151.902,34.9123,54.417
410.86,166.185,45.8265,25.5548
410.947,172.428,33.1023,30.7062
411.034,166.38,17.7869,21.3813
411.12,167.561,16.1556,27.477
411.207,158.222,33.1536,25.7842
411.294,162.202,35.7728,56.251
411.38,165.112,59.8104,55.8851
411.467,186.788,12.6858,58.9922
411.554,172.824,33.3851,24.2754
411.64,233.044,36.5849,38.6197
411.727,248.944,37.3259,50.4234
411.814,252.231,70.605,46.3379
411.9,248.241,55.368,25.6907
411.987,281.07,49.0815,29.5744
412.073,292.95,74.8121,26.9828
412.16,295.787,81.3631,37.465
412.247,308.547,55.2933,30.5643
412.333,325.059,84.3301,17.8581
412.42,310.791,61.5266,22.9779
412.507,257.564,62.0895,23.8184
412.593,256.917,47.6295,29.9975
412.68,227.652,49.7744,62.7194
412.766,185.585,47.765,12.1872
412.853,205.893,42.4644,44.2367
412.94,208.044,20.1024,34.1001
413.026,192.284,36.9656,26.8047
413.113,166.535,42.715,33.5509
413.2,156.649,49.1045,40.3222
413.286,179.763,43.9864,29.0295
413.373,166.252,41.9005,34.9066
413.459,150.197,35.567,25.1316
413.546,129.762,23.1128,4.96994
413.633,153.786,35.5388,44.2856
413.719,115.019,26.0961,22.4485
413.806,117.498,16.1078,17.8275
413.892,164.911,18.1809,23.7345
413.979,167.019,55.5701,36.2197
414.066,166.019,36.8023,15.8314
414.152,139.5,31.199,32.1841
414.239,178.59,23.6858,37.9601
414.325,192.303,40.1976,38.8388
414.412,209.46,39.8386,41.2501
414.498,231.152,66.9847,24.7126
414.585,261.97,49.7887,24.674
414.672,218.874,42.523,41.6527
414.758,196.167,31.4319,14.5775
414.845,175.267,24.4342,28.0833
414.931,125.258,25.2043,42.5183
415.018,117.256,16.4132,44.6195
