λ,sp1_E
426.604,2029.93
426.69,2075.87
426.777,2123.57
426.863,2157.03
426.949,2217.86
427.036,2167.69
427.122,1972.37
427.208,1707.04
427.295,1385.7
427.381,1028.62
427.467,881.048
427.554,825.554
427.64,893.896
427.726,936.424
427.813,988.837
427.899,992.913
427.985,1056.49
428.072,1007.97
428.158,835.545
428.244,737.047
428.331,666.101
428.417,483.684
428.503,496.643
428.59,529.603
428.676,563.816
428.762,591.279
428.849,604.978
428.935,544.954
429.021,577.628
429.107,636.386
429.194,595.868
429.28,624.488
429.366,584.53
429.453,596.401
429.539,646.055
429.625,661.733
429.712,669.233
429.798,625.444
429.884,659.997
429.97,711.378
430.057,729.206
430.143,718.782
430.229,721.537
430.316,674.361
430.402,768.335
430.488,709.087
430.574,738.905
430.661,802.946
430.747,804.455
430.833,854.782
430.919,794.545
431.006,854.363
431.092,810.233
431.178,828.063
431.264,891.098
431.351,870.927
431.437,898.584
431.523,884.954
431.61,891.152
431.696,1002.29
431.782,943.016
431.868,976.026
431.955,1002.26
432.041,1015.65
432.127,1009.56
432.213,1024.14
432.3,1121.11
432.386,1069.9
432.472,1170.89
432.558,1200.45
432.644,1171.42
432.731,1137.28
432.817,1269.11
432.903,1287.59
432.989,1280.05
433.076,1273.31
433.162,1283.07
433.248,1349.64
433.334,1321.93
433.421,1403.82
433.507,1485.16
433.593,1419.79
433.679,1464.71
433.765,1493.68
433.852,1520.38
433.938,1522.02
434.024,1603.46
434.11,1638.69
434.196,1679.85
434.283,1746.84
434.369,1753.16
434.455,1719.57
434.541,1621.94
434.627,1513.19
434.714,1380.49
434.8,1090.2
434.886,870.599
434.972,625.403
435.058,495.54
435.145,504.058
435.231,435.753
435.317,513.224
435.403,523.638
435.489,482.171
435.576,522.554
435.662,568.297
435.748,490.921
435.834,506.244
435.92,465.316
436.006,466.476
436.093,395.221
436.179,373.73
436.265,395.973
436.351,394.667
436.437,309.685
436.523,324.997
436.61,322.958
436.696,366.529
436.782,344.746
436.868,327.687
436.954,380.9
437.04,388.708
437.126,387.506
437.213,389.117
437.299,448.509
437.385,421.315
437.471,420.636
437.557,452.323
437.643,431.407
437.729,435.098
437.816,448.744
437.902,431.623
437.988,458.118
438.074,496.769
438.16,418.719
438.246,455.848
438.332,471.78
438.419,505.612
438.505,430.838
438.591,452.529
438.677,460.462
438.763,503.671
438.849,443.854
438.935,504.244
439.021,510.06
439.107,492.427
439.194,492.495
439.28,524.84
439.366,487.346
439.452,479.727
439.538,538.6
439.624,517.959
439.71,522.707
439.796,559.247
439.882,578.24
439.969,522.786
440.055,524.543
440.141,585.211
440.227,572.865
440.313,571.92
440.399,623.893
440.485,615.994
440.571,587.901
440.657,586.751
440.743,638.508
440.829,630.57
440.915,654.269
441.002,581.624
441.088,705.037
441.174,586.809
441.26,660.316
441.346,688.016
441.432,765.848
441.518,738.63
441.604,734.583
441.69,725.474
441.776,674.782
441.862,638.017
441.948,533.678
442.034,496.662
442.12,413.769
442.206,424.761
442.292,387.564
442.379,428.616
442.465,432.124
442.551,424.032
442.637,436.374
442.723,426.48
442.809,461.514
442.895,488.524
442.981,482.775
443.067,422.426
443.153,475.542
443.239,501.377
443.325,466.484
443.411,443.256
443.497,530.978
443.583,464.612
443.669,475.731
443.755,525.481
443.841,458.046
443.927,473.266
444.013,505.621
444.099,475.122
444.185,546.094
444.271,519.091
444.357,503.84
444.443,518.653
444.529,563.256
444.615,487.264
444.701,531.552
444.787,538.828
444.873,582.145
444.959,598.768
445.045,575.998
445.131,572.291
445.217,626.957
445.303,611.858
445.389,582.404
445.475,566.333
445.561,592.873
445.647,578.09
445.733,607.459
445.819,595.692
445.905,652.199
445.991,632.959
446.077,615.508
446.163,654.426
446.249,610.363
446.335,702.209
446.421,698.179
446.507,642.282
446.593,659.257
446.679,788.242
446.765,738.739
446.851,702.185
446.937,775.014
447.023,723.083
447.109,761.529
447.195,747.836
447.281,810.724
447.367,764.357
447.452,788.702
447.538,804.593
447.624,801.109
447.71,835.783
447.796,801.407
447.882,894.811
447.968,840.554
448.054,883.968
448.14,942.968
448.226,891.121
448.312,912.041
448.398,898.601
448.484,945.208
448.57,977.165
448.656,1039.19
448.742,1079.03
448.827,1084.39
448.913,982.064
448.999,1045.16
449.085,1016.46
449.171,991.994
449.257,833.473
449.343,744.593
449.429,639.58
449.515,555.654
449.601,587.351
449.687,520.472
449.773,578.576
449.858,564.412
449.944,567.672
450.03,580.117
450.116,623.954
450.202,599.17
450.288,569.156
450.374,627.114
450.46,682.123
450.546,605.177
450.632,557.382
450.717,617.08
450.803,654.334
450.889,682.765
450.975,642.64
451.061,705.271
451.147,676.332
451.233,614.954
451.319,615.585
451.404,593.573
451.49,666.344
451.576,682.285
451.662,724.307
451.748,715.692
451.834,757.343
451.92,723.868
452.006,697.92
452.091,762.212
452.177,744.751
452.263,694.779
452.349,691.562
452.435,832.469
452.521,699.312
452.607,705.68
452.692,712.406
452.778,803.48
452.864,803.935
452.95,751.149
453.036,790.818
453.122,805.652
453.207,825.292
453.293,783.264
453.379,834.652
453.465,852.81
453.551,793.428
453.637,772.205
453.722,793.881
453.808,837.11
453.894,889.632
453.98,866.823
454.066,829.771
454.152,827.724
454.237,930.689
454.323,800.572
454.409,913.383
454.495,878.897
454.581,911.104
454.666,900.625
454.752,925.017
454.838,974.305
454.924,975.979
455.01,973.229
455.096,978.058
455.181,984.867
455.267,972.69
455.353,1025.11
455.439,981.692
455.525,1013.05
455.61,1023.4
455.696,1036.73
455.782,1050.0
455.868,1053.99
455.953,1018.61
456.039,1027.68
456.125,1049.99
456.211,1009.88
456.297,1130.29
456.382,1064.62
456.468,1117.19
456.554,1134.86
456.64,1130.64
456.725,1165.1
456.811,1210.7
456.897,1190.65
456.983,1256.66
457.069,1227.24
457.154,1214.04
457.24,1247.17
457.326,1307.92
457.412,1222.01
457.497,1235.92
457.583,1216.75
457.669,1122.72
457.755,902.718
457.84,813.506
457.926,774.095
458.012,731.994
458.098,756.81
458.183,724.896
458.269,743.657
458.355,698.394
458.441,675.938
458.526,655.176
458.612,724.802
458.698,716.764
458.784,677.995
458.869,677.254
458.955,655.21
459.041,708.157
459.126,696.251
459.212,728.803
459.298,681.565
459.384,734.225
459.469,721.42
459.555,766.649
459.641,730.472
459.726,785.794
459.812,705.401
459.898,750.168
459.984,774.723
460.069,800.173
460.155,731.248
460.241,778.41
460.326,757.518
460.412,686.64
460.498,671.481
460.584,737.04
460.669,714.194
460.755,647.753
460.841,714.009
460.926,708.15
461.012,678.301
461.098,674.054
461.183,762.214
461.269,685.971
461.355,781.937
461.44,700.725
461.526,653.104
461.612,715.375
461.697,732.298
461.783,724.252
461.869,697.36
461.954,726.613
462.04,833.559
462.126,737.246
462.211,795.798
462.297,765.481
462.383,757.853
462.468,761.238
462.554,789.905
462.64,746.856
462.725,752.146
462.811,790.566
462.897,777.558
462.982,754.314
463.068,799.443
463.154,761.483
463.239,790.721
463.325,752.114
463.411,775.045
463.496,763.115
463.582,816.719
463.668,788.424
463.753,846.896
463.839,836.383
463.924,778.167
464.01,812.679
464.096,902.092
464.181,804.051
464.267,855.521
464.353,797.361
464.438,858.245
464.524,828.094
464.609,879.739
464.695,883.525
464.781,893.785
464.866,933.413
464.952,955.294
465.038,878.525
465.123,814.209
465.209,935.825
465.294,890.17
465.38,853.778
465.466,801.556
465.551,825.291
465.637,806.054
465.722,737.582
465.808,739.274
465.894,769.13
465.979,760.296
466.065,829.706
466.15,795.85
466.236,789.305
466.321,805.351
466.407,830.695
466.493,866.869
466.578,825.07
466.664,878.8
466.749,851.837
466.835,886.691
466.921,774.912
467.006,698.971
467.092,593.232
467.177,528.034
467.263,509.212
467.348,458.644
467.434,491.709
467.52,496.079
467.605,500.681
467.691,513.919
467.776,509.763
467.862,539.766
467.947,497.209
468.033,496.049
468.118,526.513
468.204,538.023
468.29,520.883
468.375,504.184
468.461,523.422
468.546,560.409
468.632,492.582
468.717,484.831
468.803,545.511
468.888,502.988
468.974,522.667
469.059,516.068
469.145,454.598
469.23,452.586
469.316,524.538
469.401,481.959
469.487,458.2
469.573,542.869
469.658,565.262
469.744,533.632
469.829,555.07
469.915,522.785
470.0,561.903
470.086,534.73
470.171,540.918
470.257,567.079
470.342,583.339
470.428,531.221
470.513,523.691
470.599,597.039
470.684,568.307
470.77,608.551
470.855,624.773
470.941,605.941
471.026,632.082
471.112,624.898
471.197,594.833
471.283,586.631
471.368,541.101
471.454,541.748
471.539,462.202
471.625,504.764
471.71,452.179
471.796,492.387
471.881,499.449
471.967,530.401
472.052,539.181
472.137,565.927
472.223,558.124
472.308,561.527
472.394,489.676
472.479,544.603
472.565,488.795
472.65,436.372
472.736,408.05
472.821,404.152
472.907,403.89
472.992,379.423
473.078,396.406
473.163,354.559
473.248,406.341
473.334,379.439
473.419,370.667
473.505,343.173
473.59,348.367
473.676,368.014
473.761,436.033
473.847,383.813
473.932,374.97
474.017,357.821
474.103,360.524
474.188,334.143
474.274,380.14
474.359,371.122
474.445,396.688
474.53,368.306
474.616,393.356
474.701,368.747
474.786,415.018
474.872,324.676
474.957,333.421
475.043,343.008
475.128,421.063
475.213,363.478
475.299,346.488
475.384,375.285
475.47,373.835
475.555,407.476
475.64,383.39
475.726,337.715
475.811,396.966
475.897,339.533
475.982,342.437
476.067,350.646
476.153,452.108
476.238,372.992
476.324,389.504
476.409,390.019
476.494,406.637
476.58,390.551
476.665,371.938
476.751,412.122
476.836,386.336
476.921,391.562
477.007,411.969
477.092,383.023
477.178,385.117
477.263,329.697
477.348,374.198
477.434,411.964
477.519,454.275
477.604,374.089
477.69,362.427
477.775,436.684
477.86,386.829
477.946,417.609
478.031,381.646
478.117,389.096
478.202,349.418
478.287,403.333
478.373,421.985
478.458,342.606
478.543,393.352
478.629,399.406
478.714,412.262
478.799,436.453
478.885,419.819
478.97,408.651
479.055,439.922
479.141,432.642
479.226,427.115
479.311,436.303
479.397,416.044
479.482,405.899
479.567,376.562
479.653,422.125
479.738,416.483
479.823,461.55
479.909,479.96
479.994,456.721
480.079,451.033
480.165,416.57
480.25,442.997
480.335,439.249
480.421,408.123
480.506,435.708
480.591,457.296
480.677,476.346
480.762,481.714
480.847,486.997
480.932,447.299
481.018,446.654
481.103,481.716
481.188,470.403
481.274,548.742
481.359,460.522
481.444,533.076
481.53,457.389
481.615,427.36
481.7,396.989
481.785,395.121
481.871,428.4
481.956,347.711
482.041,307.887
482.127,281.403
482.212,315.653
482.297,241.708
482.382,320.574
482.468,270.371
482.553,303.102
482.638,306.186
482.723,328.071
482.809,300.176
482.894,300.444
482.979,323.59
483.064,292.278
483.15,288.904
483.235,309.047
483.32,351.109
483.406,321.736
483.491,266.872
483.576,240.366
483.661,303.16
483.747,304.463
483.832,314.381
483.917,310.024
484.002,341.24
484.087,299.746
